CustomerID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,DBSCAN_Cluster
12347.0,2,7,4310.000000000001,2,2.007899702483033,0.02138827772174598,0
12348.0,75,4,1797.24,0,0.30132109467444623,-0.023709582995898152,0
12349.0,19,1,1757.5500000000002,0,0.015942191676195764,-0.7470256604123646,0
12350.0,310,1,334.40000000000003,1,-1.803738645027875,1.648086402511265,0
12352.0,36,8,2506.0400000000004,0,1.425961453698744,0.025980858047641234,0
12353.0,204,1,89.0,1,-1.3956955492254002,0.6166219558291434,0
12354.0,232,1,1079.4,1,-1.194716557318891,1.0817838044965327,0
12355.0,214,1,459.4,1,-1.3183511394123466,0.7862250511026581,0
12356.0,23,3,2811.43,0,0.7029910752538531,-0.3592059918135735,0
12357.0,33,1,6207.67,0,1.4357560551608421,0.30894540591465436,-1
12358.0,2,2,1168.06,0,0.07484939773356093,-0.9612770758117569,0
12359.0,58,4,6372.58,2,1.9061816478461702,0.7716184670854117,0
12360.0,52,3,2662.06,0,0.5191316851883291,-0.12208847416760825,0
12361.0,287,1,189.9,1,-1.7456420838873155,1.4052797983480763,0
12362.0,3,10,5226.23,2,2.8398807971141835,0.41851016859497514,0
12363.0,110,2,552.0,0,-0.6298122208579338,-0.09066571306777021,0
12364.0,8,4,1313.1,0,0.4494742331174781,-0.7441747172107034,0
12365.0,291,2,641.3799999999999,1,-1.436533907223717,1.60197693880743,0
12367.0,4,1,168.89999999999998,0,-0.444690252915621,-1.2165049916061428,0
12370.0,51,4,3545.69,0,0.9955098500354013,0.1183356108013733,0
12371.0,45,2,1887.96,0,0.11626576128578733,-0.4136995489415192,0
12372.0,72,3,1298.0400000000002,0,-0.02832778523123448,-0.22109292724178703,0
12373.0,311,1,364.6,1,-1.7982859641514302,1.663622665895778,0
12374.0,25,1,742.93,0,-0.3502561044385607,-0.9027704863229737,0
12375.0,11,2,457.5,0,-0.20378259376596694,-1.0259720458304817,0
12377.0,315,2,1628.12,1,-1.2182888290739595,2.0293815651022773,0
12378.0,130,1,4008.62,0,0.25386308705149274,0.7482510475984695,0
12379.0,82,2,852.24,0,-0.4002457651420596,-0.28712421176543496,0
12380.0,22,4,2724.8100000000004,0,0.855702903589104,-0.3207820194306932,0
12381.0,5,5,1845.3100000000004,0,0.8178654827443375,-0.5954117421231492,0
12383.0,185,5,1850.56,1,-0.012299428716476568,1.0704667503904515,0
12384.0,29,2,585.2700000000001,0,-0.24435134155781305,-0.8328925662508366,0
12386.0,338,2,401.9,1,-1.7336447777780166,1.9868126533427442,0
12388.0,16,6,2780.6600000000003,0,1.2560358722932443,-0.23323417134366933,0
12390.0,80,1,549.84,0,-0.6688657604476476,-0.4342861921301918,0
12391.0,22,1,460.89,0,-0.4304767427512998,-0.9892359129655449,0
12393.0,72,4,1582.6,0,0.2435844667517064,-0.09614274209061757,0
